Prueba,Alcance,Mecanismo,Partición,Pérdida (φ),Tiempo (s)
1,ABCDEFGHIJ,ABCDEFGHIJ,"|  A,B,C,D,E,F,G,H,J  || I |
| a,b,c,d,e,f,g,h,i,j || ∅ |",0.47265625,0.43445539474487305
2,ABCDEFGHIJ,ABCDEFGHI,"| A,B,C,D,E,F,H,I,J || G |
| a,b,c,d,e,f,g,h,i || ∅ |",0.0048828125,0.15558838844299316
3,ABCDEFGHIJ,BCDEFGHIJ,"| A,B,C,D,E,F,H,I,J || G |
| b,c,d,e,f,g,h,i,j || ∅ |",0.0048828125,0.18168210983276367
4,ABCDEFGHIJ,BCDEFGHI,"| A,C,D,E,F,G,H,I,J || B |
|  b,c,d,e,f,g,h,i  || ∅ |",0.01171875,0.10898637771606445
5,ABCDEFGHIJ,ABDEGHJ,"| A,B,C,D,E,F,G,H,I || J |
|   a,b,d,e,g,h,j   || ∅ |",0.005859375,0.09898805618286133
6,ABCDEFGHIJ,ACEGI,"| A,B,C,D,F,G,H,I,J || E |
|     a,c,e,g,i     || ∅ |",0.015625,0.0619816780090332
7,ABCDEFGHIJ,BDFHJ,"| A,B,C,D,E,F,G,H,J || I |
|     b,d,f,h,j     || ∅ |",0.00390625,0.061983585357666016
8,ABCDEFGHI,ABCDEFGHIJ,"|   A,B,C,D,E,F,G,H   || I |
| a,b,c,d,e,f,g,h,i,j || ∅ |",0.47265625,0.31763625144958496
9,ABCDEFGHI,ABCDEFGHI,"|  A,B,C,D,E,F,H,I  || G |
| a,b,c,d,e,f,g,h,i || ∅ |",0.0048828125,0.14700865745544434
10,ABCDEFGHI,BCDEFGHIJ,"|  A,B,C,D,E,F,H,I  || G |
| b,c,d,e,f,g,h,i,j || ∅ |",0.0048828125,0.13298320770263672
11,ABCDEFGHI,BCDEFGHI,"| A,C,D,E,F,G,H,I || B |
| b,c,d,e,f,g,h,i || ∅ |",0.01171875,0.08129596710205078
